Country,Year,Attack_ID,Target Industry,Financial Loss in Million  Doller,  Number of Affected Users  ,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Japan,2015,ML345,Retail,9.75 ," 5,59,143 ",Nation-state,Social Engineering,VPN,69
Russia,2015,SI657,Education,5.26 ," 5,59,195 ",Insider,Weak Passwords,VPN,52
Japan,2018,DD678,Telecommunications,25.06 ,"  5,59,274  ",Hacker Group,Social Engineering,Firewall,27
Germany,2022,SI657,Retail,25.10 ," 5,59,667 ",Unknown,Zero-day,Antivirus,69
France,2015,MIM65,Banking,27.20 ," 5,59,841 ",Nation-state,Unpatched Software,VPN,22
Japan,2017,MIM65,Retail,74.12 ," 5,59,889 ",Nation-state,Zero-day,VPN,10
UK,2022,RWS34,IT,63.67 ," 5,60,021 ",Unknown,Zero-day,Encryption,43
Japan,2019,MIM65,IT,73.71 ,"  5,60,693  ",Hacker Group,Weak Passwords,Firewall,1
Russia,2017,MIM65,IT,14.74 ,"  5,61,615  ",Hacker Group,Weak Passwords,Antivirus,29
France,2019,MIM65,Telecommunications,75.99 ," 5,61,713 ",Insider,Unpatched Software,Firewall,31
China,2022,ML345,Retail,11.31 ," 5,61,807 ",Unknown,Zero-day,Antivirus,17
Brazil,2015,SI657,Retail,74.74 ," 5,62,552 ",Nation-state,Unpatched Software,Encryption,37
Australia,2017,ML345,Healthcare,77.32 ," 5,63,706 ",Nation-state,Unpatched Software,AI-based Detection,35
India,2020,RWS34,Healthcare,70.67 ," 5,64,046 ",Insider,Social Engineering,Firewall,39
Brazil,2021,SI657,Retail,1.32 ," 5,64,277 ",Nation-state,Weak Passwords,Firewall,1
Australia,2022,RWS34,Government,10.84 ," 5,64,944 ",Insider,Social Engineering,Antivirus,58
France,2023,MIM65,Retail,9.43 ,"  5,65,002  ",Hacker Group,Unpatched Software,Firewall,72
Japan,2020,RWS34,Banking,40.86 ," 5,65,080 ",Unknown,Zero-day,Encryption,6
Russia,2019,MIM65,Banking,26.02 ," 5,65,292 ",Insider,Unpatched Software,Antivirus,27
USA,2017,MIM65,Retail,58.98 ," 5,66,242 ",Nation-state,Social Engineering,VPN,63
Brazil,2021,MIM65,Banking,3.69 ," 5,66,386 ",Insider,Unpatched Software,Encryption,45
Australia,2022,ML345,Healthcare,67.16 ," 5,66,437 ",Unknown,Weak Passwords,Encryption,63
Russia,2015,MIM65,IT,95.04 ," 5,66,542 ",Unknown,Weak Passwords,Firewall,58
Japan,2016,MIM65,Healthcare,44.69 ,"  5,67,209  ",Hacker Group,Social Engineering,Antivirus,1
Japan,2019,DD678,Healthcare,68.40 ," 5,67,370 ",Insider,Unpatched Software,VPN,9
Russia,2015,MIM65,IT,30.93 ," 5,68,075 ",Unknown,Weak Passwords,Encryption,22
China,2024,SI657,Government,84.23 ," 5,68,377 ",Unknown,Social Engineering,Antivirus,38
USA,2017,MIM65,IT,30.40 ,"  5,68,560  ",Hacker Group,Zero-day,AI-based Detection,49
France,2020,RWS34,IT,21.11 ," 5,68,832 ",Nation-state,Social Engineering,Firewall,12
UK,2023,MIM65,Government,45.16 ,"  5,69,044  ",Hacker Group,Social Engineering,Antivirus,27
USA,2024,PH01,Education,47.95 ," 5,69,539 ",Unknown,Weak Passwords,Encryption,18
Germany,2024,ML345,IT,51.66 ,"  5,70,159  ",Hacker Group,Unpatched Software,Antivirus,18
UK,2021,ML345,Telecommunications,3.17 ," 5,70,243 ",Insider,Unpatched Software,Antivirus,51
Japan,2022,ML345,Education,53.04 ," 5,70,494 ",Nation-state,Unpatched Software,VPN,53
Brazil,2021,RWS34,Government,21.21 ," 5,70,810 ",Insider,Social Engineering,Firewall,72
Japan,2022,PH01,Banking,12.42 ," 5,70,853 ",Unknown,Unpatched Software,Encryption,4
China,2022,ML345,Telecommunications,34.33 ," 5,71,265 ",Unknown,Unpatched Software,Firewall,17
Australia,2022,SI657,Telecommunications,56.20 ," 5,71,454 ",Insider,Weak Passwords,VPN,42
France,2019,ML345,Healthcare,39.83 ," 5,71,521 ",Nation-state,Weak Passwords,Antivirus,8
France,2021,PH01,IT,76.02 ," 5,73,328 ",Insider,Zero-day,AI-based Detection,10
Japan,2021,PH01,Healthcare,9.42 ,"  5,73,560  ",Hacker Group,Social Engineering,Antivirus,9
France,2015,ML345,Retail,83.45 ," 5,73,985 ",Insider,Weak Passwords,AI-based Detection,45
UK,2018,MIM65,IT,75.81 ," 5,74,089 ",Unknown,Unpatched Software,Firewall,32
Japan,2020,SI657,Banking,70.14 ," 5,75,065 ",Insider,Weak Passwords,Encryption,61
Germany,2018,SI657,Retail,46.34 ," 5,75,379 ",Unknown,Zero-day,AI-based Detection,35
UK,2017,SI657,IT,53.39 ," 5,76,110 ",Insider,Unpatched Software,Antivirus,37
Australia,2021,RWS34,Telecommunications,88.20 ,"  5,76,302  ",Hacker Group,Zero-day,AI-based Detection,2
France,2021,SI657,Banking,62.90 ," 5,77,763 ",Insider,Zero-day,AI-based Detection,43
Japan,2017,RWS34,Telecommunications,49.72 ," 5,78,125 ",Insider,Social Engineering,Firewall,71
USA,2023,ML345,Retail,50.02 ," 5,78,310 ",Nation-state,Weak Passwords,Antivirus,15
Germany,2024,ML345,Government,46.25 ,"  5,78,427  ",Hacker Group,Weak Passwords,Encryption,16
UK,2019,ML345,Telecommunications,14.01 ," 5,78,443 ",Insider,Social Engineering,Firewall,28
Germany,2016,DD678,IT,63.11 ,"  5,79,291  ",Hacker Group,Unpatched Software,Encryption,6
USA,2024,ML345,Retail,52.20 ," 5,79,778 ",Nation-state,Zero-day,Firewall,57
India,2023,DD678,Government,34.46 ," 5,80,270 ",Unknown,Unpatched Software,Firewall,35
Australia,2022,PH01,Government,9.84 ," 5,80,402 ",Nation-state,Social Engineering,VPN,70
China,2018,ML345,Education,62.82 ," 5,80,609 ",Unknown,Weak Passwords,AI-based Detection,29
Brazil,2022,MIM65,Education,91.69 ," 5,81,034 ",Insider,Social Engineering,VPN,67
France,2018,PH01,Healthcare,75.11 ," 5,81,303 ",Insider,Social Engineering,Encryption,51
Brazil,2019,RWS34,Telecommunications,23.63 ," 5,81,616 ",Insider,Social Engineering,Encryption,1
France,2023,PH01,Healthcare,72.54 ," 5,81,712 ",Insider,Social Engineering,VPN,12
Brazil,2020,PH01,IT,94.02 ," 5,81,813 ",Unknown,Social Engineering,Encryption,20
UK,2021,DD678,IT,67.12 ,"  5,81,923  ",Hacker Group,Social Engineering,VPN,63
India,2023,RWS34,Retail,5.57 ," 5,82,097 ",Insider,Weak Passwords,Antivirus,40
India,2021,MIM65,IT,53.49 ,"  5,82,718  ",Hacker Group,Social Engineering,Encryption,20
India,2019,RWS34,Education,30.56 ," 5,83,204 ",Insider,Zero-day,Firewall,37
UK,2018,SI657,Telecommunications,80.96 ,"  5,83,514  ",Hacker Group,Zero-day,VPN,54
Australia,2024,DD678,Government,95.28 ," 5,83,925 ",Insider,Zero-day,Encryption,70
Japan,2024,RWS34,Banking,24.22 ," 5,84,428 ",Nation-state,Weak Passwords,Firewall,34
India,2015,DD678,Retail,39.28 ," 5,85,934 ",Insider,Unpatched Software,Antivirus,13
China,2019,MIM65,Telecommunications,58.78 ," 5,86,131 ",Nation-state,Unpatched Software,Antivirus,68
USA,2016,DD678,Retail,13.83 ,"  5,86,557  ",Hacker Group,Social Engineering,AI-based Detection,37
France,2016,SI657,Healthcare,10.82 ,"  5,86,784  ",Hacker Group,Weak Passwords,Encryption,26
Brazil,2018,DD678,Telecommunications,69.83 ,"  5,87,034  ",Hacker Group,Weak Passwords,AI-based Detection,35
Germany,2017,MIM65,Banking,88.03 ," 5,87,213 ",Unknown,Weak Passwords,AI-based Detection,32
Russia,2018,RWS34,Education,79.93 ,"  5,87,346  ",Hacker Group,Social Engineering,Antivirus,39
Japan,2015,PH01,Education,58.86 ," 5,87,851 ",Nation-state,Social Engineering,Encryption,6
Australia,2019,DD678,Banking,1.27 ," 5,88,345 ",Insider,Unpatched Software,Firewall,49
Australia,2016,RWS34,IT,43.88 ," 5,88,421 ",Nation-state,Unpatched Software,Encryption,72
India,2023,PH01,Retail,53.07 ,"  5,89,348  ",Hacker Group,Social Engineering,Antivirus,4
Germany,2021,RWS34,Retail,46.82 ," 5,89,744 ",Nation-state,Weak Passwords,VPN,32
Japan,2024,DD678,Healthcare,99.28 ," 5,89,898 ",Unknown,Weak Passwords,VPN,59
Japan,2016,MIM65,IT,57.14 ," 5,90,262 ",Insider,Unpatched Software,Antivirus,15
Germany,2017,ML345,Government,63.97 ," 5,90,555 ",Nation-state,Social Engineering,AI-based Detection,27
Germany,2023,SI657,Telecommunications,6.09 ," 5,90,760 ",Unknown,Unpatched Software,Firewall,32
Germany,2020,ML345,Government,32.20 ,"  5,91,314  ",Hacker Group,Weak Passwords,Encryption,65
USA,2023,PH01,Telecommunications,6.18 ," 5,91,348 ",Nation-state,Weak Passwords,Encryption,55
China,2022,RWS34,Telecommunications,64.92 ," 5,91,819 ",Unknown,Zero-day,Antivirus,49
Germany,2020,SI657,Healthcare,96.31 ," 5,91,828 ",Unknown,Unpatched Software,Encryption,16
France,2017,SI657,Healthcare,96.08 ," 5,92,364 ",Insider,Weak Passwords,Antivirus,21
Australia,2020,ML345,Education,5.95 ," 5,92,485 ",Insider,Weak Passwords,Firewall,10
Germany,2017,ML345,Healthcare,6.58 ,"  5,92,988  ",Hacker Group,Unpatched Software,VPN,43
Russia,2018,ML345,Banking,17.99 ," 5,93,009 ",Unknown,Social Engineering,Firewall,27
India,2017,DD678,Retail,82.17 ,"  5,93,329  ",Hacker Group,Unpatched Software,AI-based Detection,62
Brazil,2015,PH01,Banking,29.61 ," 5,93,384 ",Unknown,Zero-day,Firewall,65
Russia,2019,RWS34,Banking,28.14 ," 5,94,170 ",Nation-state,Social Engineering,AI-based Detection,53
Australia,2024,RWS34,Government,39.92 ,"  5,94,424  ",Hacker Group,Social Engineering,Antivirus,54
Brazil,2019,SI657,Education,56.33 ," 5,95,157 ",Unknown,Zero-day,Encryption,41
China,2024,RWS34,Government,72.61 ,"  5,95,380  ",Hacker Group,Zero-day,VPN,10
Russia,2016,SI657,Telecommunications,95.93 ," 5,95,950 ",Nation-state,Social Engineering,AI-based Detection,11
Brazil,2017,MIM65,Healthcare,96.36 ,"  5,96,078  ",Hacker Group,Weak Passwords,Encryption,10
France,2015,SI657,IT,70.18 ," 5,96,168 ",Nation-state,Zero-day,Encryption,15
China,2021,MIM65,Telecommunications,66.61 ," 5,96,341 ",Insider,Weak Passwords,AI-based Detection,9
China,2022,ML345,Education,35.05 ," 5,96,468 ",Insider,Unpatched Software,VPN,29
China,2018,PH01,Healthcare,42.93 ,"  5,96,628  ",Hacker Group,Unpatched Software,Antivirus,60
France,2016,RWS34,Banking,62.73 ," 5,96,776 ",Nation-state,Zero-day,Firewall,17
Russia,2018,PH01,Education,94.60 ," 5,96,801 ",Nation-state,Weak Passwords,Antivirus,70
UK,2018,SI657,Retail,72.21 ," 5,97,358 ",Nation-state,Zero-day,VPN,30
India,2021,SI657,Government,75.25 ," 5,97,509 ",Nation-state,Social Engineering,Firewall,20
China,2023,PH01,Banking,15.21 ," 5,97,516 ",Nation-state,Unpatched Software,Antivirus,15
France,2019,PH01,Education,81.47 ," 5,97,542 ",Unknown,Weak Passwords,VPN,11
France,2015,RWS34,IT,74.03 ," 5,97,723 ",Unknown,Zero-day,Encryption,48
Germany,2020,SI657,Education,43.96 ,"  5,97,987  ",Hacker Group,Weak Passwords,Encryption,50
Russia,2018,SI657,Education,40.59 ," 5,98,151 ",Nation-state,Unpatched Software,AI-based Detection,34
Japan,2018,PH01,Education,3.60 ," 5,98,297 ",Insider,Social Engineering,VPN,49
China,2018,RWS34,Education,17.44 ," 5,98,614 ",Insider,Social Engineering,VPN,59
USA,2017,PH01,Retail,15.24 ," 5,99,197 ",Unknown,Zero-day,AI-based Detection,8
Russia,2021,SI657,Telecommunications,80.23 ," 5,99,291 ",Nation-state,Social Engineering,Firewall,55
France,2020,ML345,IT,87.32 ," 5,99,757 ",Unknown,Social Engineering,Antivirus,9
France,2023,DD678,Healthcare,58.37 ," 5,99,797 ",Nation-state,Unpatched Software,AI-based Detection,35
India,2018,SI657,Education,12.44 ," 5,99,905 ",Nation-state,Social Engineering,VPN,13
India,2015,DD678,Healthcare,10.94 ," 6,00,279 ",Insider,Unpatched Software,AI-based Detection,16
Russia,2016,PH01,Healthcare,13.91 ,"  6,00,700  ",Hacker Group,Zero-day,Firewall,28
Australia,2024,PH01,Banking,70.52 ," 6,01,198 ",Insider,Zero-day,Encryption,41
UK,2022,ML345,Healthcare,21.26 ,"  6,02,041  ",Hacker Group,Unpatched Software,AI-based Detection,25
USA,2020,RWS34,Telecommunications,93.89 ," 6,02,474 ",Unknown,Social Engineering,VPN,71
India,2016,DD678,Education,21.01 ,"  6,02,692  ",Hacker Group,Unpatched Software,VPN,29
France,2021,DD678,Healthcare,90.63 ," 6,03,327 ",Nation-state,Unpatched Software,AI-based Detection,15
India,2021,RWS34,Healthcare,76.83 ," 6,03,402 ",Insider,Zero-day,AI-based Detection,57
France,2019,ML345,Retail,21.92 ," 6,03,904 ",Nation-state,Unpatched Software,Firewall,38
Japan,2016,MIM65,Healthcare,2.59 ,"  6,03,982  ",Hacker Group,Social Engineering,Firewall,18
India,2020,SI657,Government,99.72 ," 6,04,113 ",Insider,Weak Passwords,Encryption,7
UK,2016,PH01,IT,1.28 ," 6,04,185 ",Unknown,Zero-day,Firewall,57
France,2022,RWS34,Banking,54.47 ," 6,04,250 ",Unknown,Social Engineering,AI-based Detection,63
Japan,2016,DD678,Education,71.12 ," 6,04,557 ",Nation-state,Social Engineering,Encryption,20
China,2015,SI657,IT,28.35 ," 6,04,786 ",Unknown,Zero-day,VPN,34
Japan,2021,SI657,Education,3.97 ," 6,04,843 ",Insider,Unpatched Software,AI-based Detection,40
Japan,2022,PH01,Telecommunications,35.54 ," 6,04,908 ",Unknown,Zero-day,Antivirus,25
China,2015,SI657,Telecommunications,75.91 ," 6,05,020 ",Insider,Unpatched Software,Antivirus,43
China,2016,DD678,Banking,76.90 ," 6,05,118 ",Insider,Social Engineering,Firewall,30
Japan,2019,ML345,Banking,44.17 ," 6,05,166 ",Insider,Weak Passwords,Encryption,27
Russia,2019,RWS34,Telecommunications,61.11 ," 6,05,427 ",Nation-state,Zero-day,Encryption,33
Australia,2019,SI657,Government,99.20 ," 6,05,470 ",Nation-state,Unpatched Software,Encryption,18
Australia,2015,RWS34,Telecommunications,46.39 ," 6,05,536 ",Nation-state,Unpatched Software,VPN,61
Australia,2018,PH01,Government,12.43 ," 6,05,810 ",Unknown,Zero-day,Firewall,41
India,2017,MIM65,IT,38.65 ,"  6,05,895  ",Hacker Group,Weak Passwords,VPN,20
Russia,2018,PH01,Education,5.25 ," 6,05,947 ",Insider,Zero-day,Firewall,13
Germany,2021,ML345,Telecommunications,78.46 ," 6,06,940 ",Insider,Social Engineering,AI-based Detection,32
Japan,2021,ML345,Education,76.80 ," 6,07,544 ",Nation-state,Weak Passwords,Encryption,56
France,2018,RWS34,Education,34.54 ," 6,08,196 ",Insider,Weak Passwords,AI-based Detection,25
Brazil,2023,RWS34,Retail,66.38 ,"  6,08,520  ",Hacker Group,Zero-day,VPN,14
Russia,2023,ML345,IT,98.07 ," 6,08,695 ",Nation-state,Unpatched Software,AI-based Detection,31
Russia,2015,DD678,Telecommunications,57.21 ," 6,09,196 ",Unknown,Social Engineering,VPN,4
Germany,2017,MIM65,Retail,73.98 ,"  6,09,952  ",Hacker Group,Unpatched Software,VPN,7
France,2015,ML345,Government,17.30 ,"  6,10,049  ",Hacker Group,Social Engineering,AI-based Detection,37
Japan,2017,MIM65,Telecommunications,21.80 ," 6,10,106 ",Unknown,Social Engineering,Encryption,39
Germany,2018,PH01,Government,46.92 ," 6,10,201 ",Nation-state,Weak Passwords,VPN,72
Brazil,2023,MIM65,Retail,59.18 ," 6,10,786 ",Nation-state,Social Engineering,AI-based Detection,31
USA,2016,RWS34,Retail,9.82 ," 6,10,968 ",Unknown,Unpatched Software,Antivirus,26
India,2019,DD678,IT,44.01 ," 6,12,030 ",Nation-state,Unpatched Software,Antivirus,47
UK,2017,ML345,Healthcare,24.06 ," 6,12,319 ",Unknown,Social Engineering,Antivirus,47
Russia,2023,PH01,Banking,9.24 ," 6,12,761 ",Nation-state,Unpatched Software,Encryption,71
Japan,2023,PH01,Banking,82.36 ," 6,12,815 ",Insider,Zero-day,Antivirus,12
France,2018,DD678,Government,66.40 ," 6,13,192 ",Insider,Weak Passwords,VPN,50
Russia,2022,ML345,Government,33.80 ," 6,13,718 ",Unknown,Unpatched Software,AI-based Detection,60
China,2017,MIM65,Government,49.37 ," 6,13,786 ",Nation-state,Unpatched Software,Antivirus,24
USA,2018,MIM65,Education,2.17 ," 6,14,662 ",Unknown,Weak Passwords,VPN,37
Brazil,2019,DD678,Government,54.70 ," 6,15,305 ",Insider,Zero-day,Antivirus,6
Russia,2023,DD678,Banking,33.51 ,"  6,15,332  ",Hacker Group,Social Engineering,AI-based Detection,65
China,2021,ML345,Education,42.26 ," 6,15,849 ",Nation-state,Unpatched Software,Encryption,44
Russia,2015,MIM65,Government,13.26 ,"  6,16,547  ",Hacker Group,Zero-day,AI-based Detection,22
USA,2020,PH01,Government,37.30 ," 6,17,277 ",Insider,Social Engineering,Antivirus,4
UK,2017,DD678,IT,9.01 ," 6,17,543 ",Unknown,Zero-day,Antivirus,43
India,2024,MIM65,IT,1.75 ," 6,17,939 ",Unknown,Zero-day,Firewall,22
China,2021,PH01,Retail,41.97 ," 6,17,987 ",Insider,Social Engineering,Antivirus,23
India,2016,MIM65,IT,23.38 ," 6,18,125 ",Nation-state,Zero-day,VPN,16
France,2017,DD678,IT,20.44 ," 6,18,269 ",Nation-state,Weak Passwords,VPN,48
USA,2018,PH01,Banking,55.90 ," 6,18,616 ",Insider,Zero-day,VPN,51
Germany,2022,SI657,Banking,52.91 ," 6,19,669 ",Unknown,Unpatched Software,Antivirus,19
India,2024,MIM65,Retail,30.59 ," 6,19,881 ",Nation-state,Unpatched Software,Antivirus,42
India,2017,PH01,Retail,36.78 ," 6,20,056 ",Nation-state,Weak Passwords,Firewall,14
Russia,2017,PH01,Telecommunications,2.22 ,"  6,20,350  ",Hacker Group,Zero-day,Firewall,45
India,2023,PH01,Retail,5.11 ,"  6,20,560  ",Hacker Group,Weak Passwords,Antivirus,59
China,2023,SI657,IT,53.21 ," 6,20,822 ",Unknown,Zero-day,Firewall,21
Japan,2024,MIM65,Retail,9.77 ," 6,21,770 ",Insider,Unpatched Software,AI-based Detection,70
India,2017,MIM65,Healthcare,91.40 ," 6,21,971 ",Nation-state,Weak Passwords,AI-based Detection,49
Japan,2021,PH01,Government,22.94 ," 6,22,723 ",Nation-state,Weak Passwords,AI-based Detection,67
Russia,2023,SI657,Education,0.98 ," 6,23,106 ",Nation-state,Weak Passwords,Firewall,43
China,2015,MIM65,Banking,66.47 ,"  6,23,301  ",Hacker Group,Social Engineering,VPN,40
UK,2020,DD678,Government,78.32 ," 6,24,619 ",Unknown,Weak Passwords,AI-based Detection,67
Brazil,2021,MIM65,Education,27.95 ," 6,25,370 ",Insider,Social Engineering,Firewall,24
Japan,2016,DD678,Healthcare,10.62 ," 6,25,954 ",Insider,Weak Passwords,AI-based Detection,71
India,2022,DD678,Banking,92.23 ," 6,26,017 ",Unknown,Unpatched Software,Antivirus,1
Brazil,2023,SI657,Healthcare,76.58 ,"  6,26,352  ",Hacker Group,Social Engineering,Encryption,33
Russia,2017,ML345,IT,68.12 ," 6,27,616 ",Insider,Zero-day,Firewall,29
UK,2022,SI657,IT,61.97 ," 6,27,852 ",Nation-state,Unpatched Software,VPN,23
China,2021,PH01,Retail,51.06 ," 6,28,562 ",Insider,Zero-day,AI-based Detection,52
UK,2016,PH01,Education,9.84 ," 6,28,589 ",Unknown,Unpatched Software,Encryption,8
India,2024,ML345,Government,56.13 ," 6,29,293 ",Insider,Weak Passwords,VPN,69
India,2023,ML345,Education,95.97 ,"  6,29,490  ",Hacker Group,Zero-day,VPN,38
France,2022,PH01,Retail,22.72 ,"  6,29,571  ",Hacker Group,Unpatched Software,VPN,41
India,2019,PH01,IT,33.15 ," 6,29,687 ",Unknown,Social Engineering,Firewall,53
Australia,2016,DD678,Education,93.39 ," 6,30,087 ",Nation-state,Social Engineering,VPN,72
USA,2024,PH01,IT,58.57 ,"  6,30,793  ",Hacker Group,Social Engineering,AI-based Detection,64
UK,2015,PH01,Banking,51.38 ," 6,30,931 ",Insider,Zero-day,AI-based Detection,48
China,2021,PH01,Education,70.20 ," 6,31,101 ",Unknown,Zero-day,Firewall,36
India,2015,SI657,Government,56.84 ," 6,31,420 ",Nation-state,Unpatched Software,Firewall,68
China,2022,PH01,IT,41.81 ," 6,31,816 ",Unknown,Weak Passwords,Firewall,29
Brazil,2022,SI657,Retail,25.85 ," 6,32,061 ",Nation-state,Zero-day,Antivirus,2
USA,2023,RWS34,IT,34.94 ," 6,32,075 ",Insider,Social Engineering,Encryption,64
USA,2016,SI657,Government,77.45 ," 6,32,319 ",Unknown,Weak Passwords,AI-based Detection,47
USA,2017,DD678,Healthcare,64.99 ," 6,32,431 ",Insider,Zero-day,VPN,55
India,2019,MIM65,Education,27.45 ," 6,33,466 ",Unknown,Zero-day,AI-based Detection,16
Russia,2019,MIM65,IT,52.80 ," 6,33,511 ",Insider,Zero-day,VPN,58
India,2022,SI657,Government,53.89 ," 6,33,626 ",Nation-state,Social Engineering,Antivirus,54
Australia,2022,PH01,Healthcare,61.97 ," 6,33,750 ",Insider,Unpatched Software,Antivirus,45
India,2022,MIM65,Retail,13.82 ,"  6,33,855  ",Hacker Group,Social Engineering,Antivirus,37
Australia,2017,SI657,Healthcare,68.91 ,"  6,34,048  ",Hacker Group,Unpatched Software,Firewall,66
Russia,2021,MIM65,Banking,44.32 ," 6,34,390 ",Unknown,Zero-day,Antivirus,54
UK,2021,RWS34,Telecommunications,3.99 ," 6,34,820 ",Insider,Unpatched Software,Encryption,33
Japan,2023,MIM65,Telecommunications,86.98 ," 6,35,827 ",Nation-state,Social Engineering,Encryption,72
UK,2017,ML345,Banking,11.25 ," 6,36,273 ",Insider,Zero-day,Antivirus,30
Australia,2018,DD678,Education,79.50 ,"  6,36,407  ",Hacker Group,Zero-day,Encryption,11
Australia,2024,MIM65,Retail,76.83 ,"  6,37,189  ",Hacker Group,Unpatched Software,Antivirus,56
China,2022,RWS34,Education,85.72 ," 6,37,259 ",Unknown,Zero-day,VPN,57
USA,2017,PH01,Banking,96.27 ,"  6,37,264  ",Hacker Group,Unpatched Software,AI-based Detection,11
China,2024,SI657,Telecommunications,10.18 ," 6,37,350 ",Unknown,Weak Passwords,Antivirus,52
UK,2023,DD678,IT,52.75 ,"  6,38,329  ",Hacker Group,Social Engineering,Firewall,11
UK,2023,RWS34,Banking,49.89 ," 6,38,668 ",Nation-state,Social Engineering,Encryption,47
USA,2016,PH01,Retail,75.94 ," 6,38,693 ",Nation-state,Weak Passwords,AI-based Detection,35
USA,2018,DD678,Government,84.85 ," 6,39,011 ",Insider,Weak Passwords,Firewall,26
China,2017,RWS34,Education,25.73 ," 6,39,190 ",Insider,Social Engineering,Encryption,33
Australia,2015,PH01,Telecommunications,73.77 ," 6,39,279 ",Nation-state,Zero-day,VPN,44
Russia,2019,SI657,Telecommunications,14.15 ," 6,39,630 ",Insider,Unpatched Software,Encryption,31
Germany,2024,ML345,Telecommunications,79.72 ," 6,39,779 ",Nation-state,Zero-day,Antivirus,6
UK,2016,RWS34,Healthcare,61.66 ,"  6,39,896  ",Hacker Group,Social Engineering,VPN,63
France,2017,MIM65,Education,49.94 ,"  6,40,572  ",Hacker Group,Social Engineering,Firewall,51
Japan,2020,ML345,Education,66.93 ,"  6,40,603  ",Hacker Group,Unpatched Software,VPN,23
USA,2021,MIM65,Education,51.43 ," 6,40,851 ",Unknown,Zero-day,VPN,11
China,2022,DD678,Retail,77.74 ,"  6,42,501  ",Hacker Group,Zero-day,AI-based Detection,19
Germany,2023,DD678,Telecommunications,51.49 ," 6,42,699 ",Unknown,Social Engineering,Firewall,51
